"","date","holiday"
"768","2021-11-29","False"
"769","2021-11-30","False"
"770","2021-12-01","False"
"771","2021-12-02","False"
"772","2021-12-03","False"
"773","2021-12-04","False"
"774","2021-12-05","False"
"775","2021-12-06","False"
"776","2021-12-07","False"
"777","2021-12-08","False"
"778","2021-12-09","False"
"779","2021-12-10","False"
"780","2021-12-11","False"
"781","2021-12-12","False"
"782","2021-12-13","False"
"783","2021-12-14","False"
"784","2021-12-15","False"
"785","2021-12-16","False"
"786","2021-12-17","False"
"787","2021-12-18","False"
"788","2021-12-19","False"
"789","2021-12-20","False"
"790","2021-12-21","False"
"791","2021-12-22","False"
"792","2021-12-23","False"
"793","2021-12-24","True"
"794","2021-12-25","True"
"795","2021-12-26","True"
"796","2021-12-27","True"
"797","2021-12-28","True"
"798","2021-12-29","True"
"799","2021-12-30","True"
"800","2021-12-31","True"
"801","2022-01-01","True"
"802","2022-01-02","True"
"803","2022-01-03","True"
"804","2022-01-04","True"
"805","2022-01-05","True"
"806","2022-01-06","True"
"807","2022-01-07","True"
"808","2022-01-08","True"
"809","2022-01-09","False"
"810","2022-01-10","False"
"811","2022-01-11","False"
"812","2022-01-12","False"
"813","2022-01-13","False"
"814","2022-01-14","False"
"815","2022-01-15","False"
"816","2022-01-16","False"
"817","2022-01-17","False"
"818","2022-01-18","False"
"819","2022-01-19","False"
"820","2022-01-20","False"
"821","2022-01-21","False"
"822","2022-01-22","False"
"823","2022-01-23","False"
"824","2022-01-24","False"
"825","2022-01-25","False"
"826","2022-01-26","False"
"827","2022-01-27","False"
"828","2022-01-28","False"
"829","2022-01-29","False"
"830","2022-01-30","False"
"831","2022-01-31","False"
"832","2022-02-01","False"
"833","2022-02-02","False"
"834","2022-02-03","False"
"835","2022-02-04","False"
"836","2022-02-05","False"
"837","2022-02-06","False"
"838","2022-02-07","False"
"839","2022-02-08","False"
"840","2022-02-09","False"
"841","2022-02-10","False"
"842","2022-02-11","False"
"843","2022-02-12","False"
"844","2022-02-13","False"
"845","2022-02-14","False"
"846","2022-02-15","False"
"847","2022-02-16","False"
"848","2022-02-17","False"
"849","2022-02-18","False"
"850","2022-02-19","False"
"851","2022-02-20","False"
"852","2022-02-21","False"
"853","2022-02-22","False"
"854","2022-02-23","False"
"855","2022-02-24","False"
"856","2022-02-25","False"
"857","2022-02-26","False"
"858","2022-02-27","False"
"859","2022-02-28","False"
"860","2022-03-01","False"
"861","2022-03-02","False"
"862","2022-03-03","False"
"863","2022-03-04","False"
"864","2022-03-05","False"
"865","2022-03-06","False"
"866","2022-03-07","False"
"867","2022-03-08","False"
"868","2022-03-09","False"
"869","2022-03-10","False"
"870","2022-03-11","False"
"871","2022-03-12","False"
"872","2022-03-13","False"
"873","2022-03-14","False"
"874","2022-03-15","False"
"875","2022-03-16","False"
"876","2022-03-17","False"
"877","2022-03-18","False"
"878","2022-03-19","False"
"879","2022-03-20","False"
"880","2022-03-21","False"
"881","2022-03-22","False"
"882","2022-03-23","False"
"883","2022-03-24","False"
"884","2022-03-25","False"
"885","2022-03-26","False"
"886","2022-03-27","False"
"887","2022-03-28","False"
"888","2022-03-29","False"
"889","2022-03-30","False"
"890","2022-03-31","False"
"891","2022-04-01","False"
"892","2022-04-02","False"
"893","2022-04-03","False"
"894","2022-04-04","False"
"895","2022-04-05","False"
"896","2022-04-06","False"
